"Species","Nsites","Nyears","OLS_a","OLS_mu","OLS_S","OLS_J","OLS_R2","GLS_a","GLS_mu","GLS_S","GLS_J","deltaAIC","PC1_trophic","PC2_trophic","PC1_life","PC2_life","PC1_habitat","PC2_habitat","PC1_habsub","PC2_habsub"
"Acantharchus pomotis",36,17,2.31156700450869,1.80539886854202,-0.00535306345572058,0.0937184485889914,0.955819077894581,2.52534755116999,1.87010465561154,-0.00231873854285525,-0.150940560471027,-10.891824684519,-0.204752002947738,-0.0428324499147344,0.073504374768535,0.037382178902618,-0.406041178940433,-0.0940771790453153,-0.163405737107908,-0.209264557369427
"Alosa chrysochloris",14,26,1.88671740609437,1.59252453498181,0.0263389670510882,-5.00682352247582,0.937940453548346,2.50854999923989,1.6139534742163,0.0175319449992767,-5.29231772578305,-7.00911333433032,-0.306501105533214,-0.0501195858549304,-0.0191732962884848,0.0161126873578985,-0.0219426636584441,-0.171846627243083,-0.096187202770307,-0.169946789767502
"Ambloplites rupestris",209,36,2.72074361234612,1.68187128854541,-0.0272466631286255,0.654652144813098,0.958279346757125,2.72074361023904,1.68187128829336,-0.0272466631112997,0.654652146741623,-22.3616094402522,-0.204752002947738,-0.0428324499147337,-0.0366730076081354,-0.0274251549422612,-0.2041183993345,0.0265187097326905,-0.408203560435045,0.0750896965346551
"Ameiurus brunneus",64,27,2.23844053743424,1.63424313682985,0.00567674349796615,-0.417456367793195,0.967339151432995,2.13803974623527,1.6409705818774,0.00851255359825675,-0.369945506967589,-15.8928765814396,0.0618983517709352,-0.0833012252103818,-0.016654074745801,0.00672056759803431,0.111588108501147,0.236606765321213,0.232638397609596,0.0557968011104576
"Ameiurus catus",22,19,3.00954058509375,1.85246307661442,-0.0145198641878191,-0.490995572688087,0.98774509538096,2.83130831540108,1.85286379604357,-0.0143487113526654,-0.20935760263579,-14.0170327424868,0.000212201101785549,-0.225542480417339,-0.128971216768563,-0.0111827613114965,0.0446800521996408,0.02862074896376,-0.109309250592635,0.0398392834476873
"Ameiurus melas",208,31,3.1654170307158,1.90767515643719,-0.00733850978568272,-0.0600498886395137,0.980523283200539,3.18203560398311,1.90954033717686,-0.00753346667332769,-0.0716310931794641,-22.5728061972837,0.157529661566642,-0.267682171634776,-0.0369634277762146,0.00299927418765473,-0.404454732599547,-0.0792366027870868,-0.226147497719702,0.01215475528695
"Ameiurus natalis",312,35,2.06246641519341,1.67326771784939,0.00957244973212937,-0.0695483065151333,0.950973822126521,2.07895786564297,1.67252052720852,0.00950246706250291,-0.090580509292959,-23.9760049574743,0.199013908566517,-0.352662844896268,-0.0379269634583065,0.0406475499653472,-0.034823340979943,0.289526368145858,-0.188809343468922,0.2736335525219
"Ameiurus nebulosus",77,28,1.40774958198548,1.63674844638577,0.00533340899721002,0.851971492212919,0.95452078125703,1.40774958149368,1.63674844635818,0.00533340899535921,0.851971492932405,-20.5359218961779,0.289053523095084,-0.199297829478082,-0.0761514631693942,0.0469234205083908,-0.190954016055309,0.112683411487901,-0.372248351575558,0.0764437562534617
"Ameiurus platycephalus",214,28,2.42782379200756,1.68408316537562,0.00218190307073979,-0.488717596714181,0.958664618224649,2.41457449087343,1.68573690765802,0.00289620157294874,-0.492829763477299,-21.0396813285952,0.0618983517709354,-0.0833012252103828,-0.0052604471658777,-0.0311431614075512,0.0698762588698764,0.0214160794365236,-0.0766663422586943,0.298433585397471
"Amia calva",76,27,1.65505602867765,1.24333525042062,-0.00582467123797406,-0.592688839175373,0.94884107091191,1.69165931631817,1.24396281986028,-0.0059211532017926,-0.646080307565406,-20.6442030798536,-0.204752002947738,-0.0428324499147343,-0.235223961342598,-0.0268573467867499,-0.170319826092373,-0.0778229977486515,-0.153858819716948,-0.228739552700703
"Ammocrypta clara",10,22,1.5210341067,1.33349582861635,0.0155356981408151,-1.74875838988518,0.966654233022578,1.52103410669082,1.33349582861538,0.0155356981407845,-1.74875838986786,-23.3867630667715,-0.0835613093979992,0.235592540765975,0.103798398074258,0.0186602059556593,0.13972678266801,-0.0961283310646757,0.271496996275378,-0.107214651976369
"Aphredoderus sayanus",155,29,2.56809019515522,1.77705667157207,0.00231116990446963,-0.402396237161139,0.96217094646111,2.56809019571978,1.77705667159351,0.00231116989781797,-0.402396237530994,-22.3306498538161,-0.204752002947738,-0.0428324499147343,0.0640076382859383,0.0523620183810672,-0.321634672418273,-0.087249183564808,-0.221572674880977,0.000275493958945899
"Aplodinotus grunniens",69,27,3.7682148462663,1.73005655282333,-0.0428623852956783,-0.0652092789071042,0.966763808434307,3.70104951169144,1.7403599055105,-0.0435599995970945,0.0824774910979363,-16.4266255043256,-0.204752002947738,-0.0428324499147343,-0.202052598959936,0.0371526043198135,-0.208508145200106,-0.0551097045460299,-0.197463824324925,-0.21951216802123
"Campostoma anomalum",347,37,2.8978656376722,1.80226040731689,-0.00650123080515943,0.284272860282342,0.984865790207681,2.8978656372607,1.80226040717435,-0.00650123083364826,0.284272863369438,-25.9173838987416,0.28025360183688,0.151375659306082,0.0118852662881196,0.00951959287408428,0.320725193427571,-0.0795319580199283,0.399200255880871,0.23013286433757
"Campostoma oligolepis",34,21,3.32438946874033,1.85547242406703,0.00485938640809285,-1.24734038590458,0.987826273986561,3.3243894669849,1.85547242398225,0.0048593865942419,-1.24734039233867,-14.7209719890556,0.28025360183688,0.151375659306082,0.0332342486603768,0.0221755735961106,0.173654465711932,-0.100203972849185,0.362876062842253,-0.0825550216122311
"Campostoma pauciradii",5,19,12.0148172772864,1.52758811903297,-0.0959185309567533,-11.5485431400793,0.997846153872577,11.318513123094,1.54386803665076,-0.084204645640304,-10.9567428487897,-28.9203011647524,0.289122799348494,0.253154318588609,0.0251756616176947,0.0385766796622043,0.169373868859988,-0.0926041861633484,0.364917471920563,-0.0727627679341084
"Carassius auratus",22,27,1.60661253297371,1.39358116431732,-0.00803480879421768,0.372078178038222,0.962807636894219,1.63301586367435,1.38624193413575,-0.00809474838164237,0.334281308349211,-16.896251437244,0.248940185453487,-0.0861245044790845,-0.108149810301747,-0.00385414062519591,-0.268619592538258,-0.195789845636142,-0.238552135435256,-0.00684785393069671
"Carpiodes carpio",109,31,3.46498008610011,1.68062748338533,-0.0387648522552263,0.190100746257328,0.957671036784419,3.54731162961393,1.68007251310113,-0.039555137993526,0.120263699207637,-18.8566909338066,0.338702385863072,0.0579054026769036,-0.0922550617645922,-0.0069703628632591,-0.193738310545825,0.038277373686202,-0.277964372050131,-0.155825593493099
"Carpiodes cyprinus",138,31,2.23894212665734,1.70148605041622,-0.0210760877640975,1.364582813941,0.961557956577252,2.23894212952881,1.70148605071669,-0.021076087792051,1.36458281188158,-21.957797233739,0.338702385863072,0.0579054026769035,-0.122715307921902,0.0237672357327762,0.226528174144345,0.00951730156468426,0.014038378980379,-0.0614149265693584
"Carpiodes velifer",60,30,2.74727668484903,1.7000037237258,-0.0192047934125636,0.629105646201112,0.949499696122102,2.83492027417828,1.70022759591788,-0.0201918066239187,0.578840597035661,-17.2919679995732,0.222197314793298,0.177934291797839,-0.0532491426259021,-3.9301178946665e-07,-0.0253401444709012,0.0498354954486346,0.00852495925552672,-0.209623013519891
"Catostomus catostomus",23,22,2.23001392645743,1.74368097880877,0.0105383527693101,-0.0257936024501919,0.994890136460392,2.22090045406945,1.74441906834696,0.0108278451822491,-0.0172373360799688,-22.0189151463379,0.0140573856606621,0.0771457055041414,-0.113740921551592,-0.0481043771965106,-0.00117243806852164,-0.126962304752537,-0.0163335162890601,-0.177316544400535
"Catostomus columbianus",9,23,-1.26331590748482,1.82161581646146,0.0483688469167586,4.23644865486282,0.974160022764018,-2.08762390997809,1.90895464757905,0.0468603804503151,4.89819072551165,-27.9528108171014,0.147986976367111,0.0338684013264814,-0.072493667496499,0.00161418788054857,0.126916500848078,0.0340864547445045,0.228972358120335,-0.00203372117018249
"Catostomus commersonii",591,37,2.8706918534818,1.8252858114036,-0.0116166762250311,0.266962284458475,0.979244376177232,2.87726076893588,1.82446598544357,-0.0117399707879296,0.262313089336491,-26.3831453714305,0.415288660498125,0.012251894882381,-0.0821057834273393,0.0406961961083628,-0.0410452366927029,0.400835160734218,-0.206309189416522,0.442316691929761
"Catostomus macrocheilus",17,26,1.68784823103045,1.62252176084818,0.0530062083464534,0.187057421680138,0.978018188339658,1.67053679817737,1.61083416111251,0.0537036729984352,0.224562453611159,-14.0190465468675,0.249778486031716,-0.450551817260517,-0.143488258007876,-0.0629977177204353,-0.0260262801702206,-0.131963159082345,-0.101686357172728,-0.198087464265989
"Catostomus platyrhynchus",13,18,1.93826172973079,1.92813701854182,-0.062256720512866,2.09940841573732,0.960854927259857,1.9382617292918,1.92813701845457,-0.062256720498918,2.09940841608612,-14.3431564858604,0.167390786264086,0.0859269158677929,-0.0331548233366312,-0.0749148132367249,0.0536197189403868,0.076626774626774,0.112357478133384,0.223746800638372
"Centrarchus macropterus",50,24,2.94929987565345,1.80967446524189,-0.0069864974580172,-0.430479149671642,0.968164655318764,2.76004245971017,1.8047115401549,-0.00256194571431534,-0.340120618023984,-16.6249192057742,-0.0672021598436545,-0.0838224409466549,0.0258250535052772,0.0442013040378826,-0.258962960747188,-0.134162327391709,-0.237361277776994,-0.0161518072233516
"Chrosomus eos",48,21,2.84501302234062,1.9177362278246,0.00491878582485238,-0.260325599181798,0.992236520049592,2.8450130235822,1.91773622777836,0.00491878580962914,-0.260325600452322,-21.6908200117059,0.0138350105622201,0.0634023967897983,0.0921839665983342,-0.0297802711720705,-0.00817401950383791,0.239297112503177,-0.134113952668867,0.0608852277443052
"Chrosomus erythrogaster",51,25,2.13849769235843,1.8103159103709,0.0101750775115774,0.261368475475285,0.988525641804858,2.13849769323009,1.81031591026963,0.0101750775134046,0.261368474259819,-17.9920870706859,0.338702385863072,0.0579054026769036,0.0834598945582463,0.0137998547645527,0.057541408525591,-0.0583843015917587,0.204803072418091,-0.116883648189996
"Chrosomus oreas",47,19,2.39343171827014,1.88789838267231,0.00513281450154778,-0.13805483421466,0.990536123297612,2.44891605288138,1.8892984256801,0.00445464332810191,-0.199845925254037,-17.7045419942302,0.222197314793298,0.177934291797839,0.0696718965194549,0.0243490000878539,0.118186173629367,0.0299453435808271,0.231664863624614,0.0140069568092961
"Clinostomus funduloides",193,26,2.30026081935565,1.78718633437894,-0.0102150214707643,0.578015607301555,0.984259236340154,2.30840765206385,1.78681750135823,-0.0108644638336934,0.586225715166031,-22.4971542794874,-0.0233512363642646,0.0469599867453429,0.0411029421162026,0.0576795850201771,0.216373791685766,-0.109311288497578,0.265579586915489,-0.044440389373788
"Cottus bairdii",95,27,2.29892088614982,1.85753957619737,-0.0138060957667711,0.951660643161889,0.991221945687658,2.3084521987915,1.85707108246702,-0.0134294976596236,0.930417745369008,-21.2656308029303,-0.169700459659937,-0.258046629400051,0.0215221993426482,0.083601613716323,0.104528302368661,-0.10323779328891,0.113516350575307,-0.0236718410640344
"Cottus carolinae",10,21,-0.174746152565667,1.62449359201737,0.0114571708634459,3.68676036836068,0.96384751045498,-0.174746153850452,1.62449359230612,0.0114571708860608,3.68676036852306,-20.9722684808234,-0.179972768879013,0.0891840899362993,0.0513915907592379,0.0468813787712829,0.224395033739491,0.10605589274858,0.221717005481807,0.306795659827019
"Cottus cognatus",17,20,3.38789692185172,1.79907273055508,-0.0129892484825053,-1.19031944475838,0.984157733980983,3.70394709557385,1.77239035247036,-0.0160816987458063,-1.34837860711876,-14.1052242922149,-0.108927886284531,-0.0507077015328728,-0.0130598921567298,0.073587404573474,0.148416059782824,0.17100017864204,-0.0136506264975246,0.0715139644180568
"Ctenopharyngodon idella",15,25,2.72320563887575,1.53547172507047,-0.0263819226122681,-0.299904905171674,0.935310303696113,2.86908571512142,1.47975382324885,-0.02515444704733,-0.975881071140856,-9.54286012313509,0.157529661566642,-0.267682171634776,-0.198429831869989,-0.0061935304265335,-0.197041753496834,-0.263567273393094,-0.179768258999037,-0.219956956743558
"Culaea inconstans",143,28,2.73774122134971,1.8980970327785,0.00617144611219561,0.0471353323901889,0.986408646158056,2.7428984422885,1.89577590459485,0.00540796776343273,0.0624815041050954,-22.4188876292408,0.0288687571329845,0.0313466950005418,0.0864912275513156,0.0373114513232565,0.0539876677259743,0.195305796856483,-0.189134913039957,0.281952272446998
"Cycleptus elongatus",25,26,1.16426110595337,1.12407224813857,-0.00390397042645505,0.0880479426040799,0.936567511999698,1.16426110613184,1.12407224811633,-0.00390397042934437,0.0880479425410417,-19.0785835570573,0.167390786264086,0.0859269158677929,-0.211195370735636,0.0450814516963052,0.146940414454339,-0.20582866542236,0.300633920687313,-0.111214227525945
"Cyprinella analostana",141,28,2.00897093219183,1.78507272872958,0.0174697779514942,0.281206788846931,0.985992549592913,2.00670416920165,1.78561856315475,0.0177705335905936,0.275006095088,-21.3277330256821,-0.0273036497045647,0.0932589493152357,0.0678384297766495,0.00494651660125328,-0.275435583700483,0.123372813922328,-0.110199971079532,0.0716568597813611
"Cyprinella chloristia",40,19,2.50374213530883,1.79800644813529,0.0114353494829501,-0.633394753507615,0.987586716733698,2.50374213586644,1.79800644815314,0.0114353494934908,-0.633394754615919,-17.4649716133851,-0.120882545401717,0.0990488596451022,0.0840536534476062,-0.0169734754709515,0.137402672208619,-0.0710618694667157,0.289310504974738,0.161674223379477
"Cyprinella galactura",42,19,2.73616220054786,1.88469606930171,0.0267513701539547,-1.54861614403441,0.978015130022903,2.82030890248744,1.89062473857806,0.0323192353895673,-1.86426484909318,-14.9155742987072,-0.149258982336656,-0.182688258068537,0.0785784026603583,-0.0237028822440866,0.21140263384046,-0.10334419818782,0.28841402863802,0.167046620107427
"Cyprinella lutrensis",119,26,3.01858011555216,1.85836643232982,-0.0275712514850644,0.406580675450075,0.981397833410315,3.0185801143507,1.85836643225572,-0.0275712514748274,0.40658067703516,-21.8935378824956,0.0686303362259411,0.203613246910442,0.167027061076287,-0.0651488572463331,-0.0601575179348963,0.00348047839541253,-0.309330804249247,0.0153533564881683
"Cyprinella nivea",35,17,2.53998890574571,1.90237039951983,0.000347572243806741,-0.0765410330830732,0.984725773678517,2.46553863849308,1.90157922250936,0.00115500660050894,-0.011787681929004,-16.686152527941,0.097043598616965,-0.0542479509374813,0.0721927481157938,-0.0424498521569226,0.0654280234793368,-0.153390987534368,0.295206660134291,-0.26629469963511
"Cyprinella pyrrhomelas",52,19,2.94825480667126,1.78311820304708,-0.000920754986249066,-0.966134709803602,0.985932288560588,2.8856797468478,1.78339296052867,0.000935255947285303,-0.926689958665432,-17.8501708044434,-0.120882545401717,0.0990488596451022,0.0789616824235229,0.0280966976362657,0.140917709476192,-0.177342128247127,0.299712449643906,-0.0938855737468364
"Cyprinella spiloptera",200,37,2.94882730929493,1.73713114222867,-0.020607945561442,0.90989367765421,0.971583624661199,2.94845098283161,1.73876758639447,-0.0204781784853637,0.906613200564844,-21.2845572481829,0.000212201101785586,-0.225542480417338,0.0548488284946847,-0.0334647086062394,0.156914479634187,-0.0987252162708644,0.326846217500875,-0.101802275947117
"Cyprinella venusta",10,23,3.71465992785711,1.90257998268025,-0.033195935947546,-0.292407511305493,0.97359447254417,3.67413739313197,1.93257744555078,-0.0324796755848512,-0.335380865699483,-25.2118179953558,0.126499270805541,-0.107586977069382,0.105951451821683,-0.0449541006730441,0.155072966983514,-0.113627504213703,0.257938398515012,0.15224829886376
"Cyprinus carpio",198,37,3.58964460239291,1.73028763193675,-0.0302982894478839,-0.0874963595967807,0.96314525685484,3.68680099588075,1.72970838099199,-0.0308173532460234,-0.212468017946822,-18.7154416470922,0.312707044034564,-0.145640261805644,-0.19654290749862,-0.0458173812384581,-0.162023683158381,0.206036017704596,-0.362049696581841,0.0821089206110797
"Dorosoma cepedianum",119,37,4.38648165887037,1.81991333718673,-0.0266761427984329,-0.765680516067683,0.988662620605872,4.38648166730845,1.81991333784073,-0.026676142975432,-0.76568051887723,-21.1342893845857,0.248940185453487,-0.0861245044790845,-0.0369243505429876,0.049655624654994,-0.123186890290481,-0.338193038571866,-0.18534171433314,-0.233799879827637
"Dorosoma petenense",19,26,1.90367138980389,1.75334702979119,-0.0129218115843376,1.87857438221025,0.959598078761824,1.57571654589514,1.74989084418263,-0.00929011301627517,2.05864465333011,-12.567713332672,0.147986976367111,0.0338684013264814,0.132657506901042,-0.0793555629525645,-0.207699534341832,-0.304312767952536,-0.185778305132858,-0.225105377536999
"Enneacanthus gloriosus",61,26,3.54200461859039,1.87987824423568,-0.00821325795828902,-1.02553847082519,0.97241708510584,3.54200462005871,1.87987824426071,-0.00821325798836417,-1.02553847171535,-17.2932248875364,-0.0534762626383516,-0.0233307864368172,0.0654891714733755,-0.0581936139084957,-0.432232806979101,0.165185244529866,-0.29530924487773,-0.115805398934895
"Ericymba buccata",11,19,3.91336780805483,1.62289665371853,-0.0688629468649554,0.553703663235425,0.930150843389694,6.40370433144536,1.49907940444935,-0.0420487192027901,-4.02098466356879,-12.6131601218639,0.147986976367111,0.0338684013264814,0.0912913971524218,-0.019296791567281,-0.0154687932791729,-0.217445501220438,0.159751029623797,-0.316093939034994
"Erimyzon oblongus",170,27,2.4702971277614,1.82465440947715,0.00825944030576414,-0.22972999039603,0.972693230563697,2.4780487651368,1.82321318876996,0.00849842478203032,-0.25054353996263,-21.8787005896771,0.147986976367111,0.0338684013264814,0.000702640012452364,0.0446888080631619,0.0243711109371809,0.28784538092893,-0.184273166747249,0.283265354632982
"Esox americanus americanus",121,28,2.51538630642985,1.7413160589273,0.00429545124064144,-0.353550683616795,0.96351197549578,2.4996246356437,1.73379529177154,0.00426676838510047,-0.344696454930963,-19.5948524935316,-0.306501105533212,-0.0501195858549301,0.00198132145181609,-0.0575693307195922,-0.194724178618526,-0.23212818953693,-0.25039861301714,-0.01589181474645
"Esox lucius",195,29,2.22777220729612,1.55067632555742,-0.022128999004818,0.5837165549201,0.931628833942679,2.2609685499307,1.54964605179989,-0.0223680471835632,0.548063328852112,-20.0037816162668,-0.306501105533212,-0.0501195858549301,-0.266867329605721,0.168321945863989,-0.0911573247842824,0.259872967937562,-0.236492318807945,-0.0987599481556131
"Esox niger",71,26,2.18248044092999,1.68139305092507,-0.00346205198859703,0.0569633207458647,0.961443510494243,2.25264353095964,1.68470269861819,-0.00501152342093173,0.0365389558020023,-17.6117342202373,-0.306501105533212,-0.0501195858549301,-0.0840628728664493,0.0502409529152527,-0.259832293084171,-0.240654808902034,-0.253708316912193,-0.00663772472826398
"Etheostoma asprigene",36,26,2.73174319944681,1.40474220880028,-0.018112230982919,-0.451078852711181,0.937704382148559,2.74160975829967,1.4046970672468,-0.0181824388188513,-0.460551582220051,-17.1408587580641,-0.0874307466775726,0.218656210204196,0.0778794731982805,0.0609057541907534,-0.0445407663529673,0.0587347807152707,-0.0848032526221232,-0.235418248005158
"Etheostoma blennioides",39,31,1.08332412365266,1.67718211065919,-0.043606974818123,3.28300537955838,0.978030877606209,1.01746105353388,1.65728405152444,-0.0469083786561346,3.45468590381447,-10.5610209706817,-0.0835613093979992,0.235592540765975,0.0439894128728144,0.0725663839919716,0.0823092789890996,-0.15085127098925,0.283564751875419,0.0907393470530996
"Etheostoma caeruleum",38,32,0.550228530249696,1.81789314926521,-0.0297661456982699,3.85602535429455,0.974873611616548,0.308656815288996,1.81487440030363,-0.0309098881191673,4.2666922654999,-13.4460956445546,-0.0874307466775726,0.218656210204196,0.0870608463831429,0.0160409794159257,0.154793845536501,-0.0805626266895761,0.344226997594178,0.174459127367647
"Etheostoma exile",58,26,2.59419963747817,1.86563252218995,-0.00134064060603376,0.275593821891222,0.986261355211058,2.59419963615023,1.86563252165267,-0.00134064063219619,0.275593823524075,-21.2404921759638,-0.137571398735266,0.0682502795512869,0.0774716085894681,0.0446831098123109,-0.00430201029793129,0.227284661377695,-0.132032133971094,0.0254616837132304
"Etheostoma flabellare",196,34,2.38151629972032,1.84951172538296,-0.00849098548857405,0.74793276282337,0.984027434584618,2.43934399812846,1.84755463901224,-0.00873920743307657,0.678683734130501,-22.19542062836,-0.0874307466775726,0.218656210204196,0.0706672735521121,0.0575972562616227,0.159765276101535,-0.188576139309589,0.343861398412517,0.177962074857001
"Etheostoma nigrum",373,32,2.74221364192645,1.8270276966091,-0.0130493578137141,0.436253155252216,0.964566328029713,2.74221364137905,1.82702769662688,-0.0130493578044182,0.436253155606981,-24.4051635190801,-0.0835613093979992,0.235592540765975,0.071239206499857,0.0795085886711159,-0.107134275180249,0.108318211608443,-0.352650997279156,0.0797156578507568
"Etheostoma olmstedi",222,27,2.70627768593855,1.76754220326645,-0.0119045852302089,0.08200239643441,0.972109500062757,2.70627768756745,1.76754220337392,-0.0119045852334475,0.0820023941570843,-23.0005550936994,-0.0835613093979992,0.235592540765975,0.0904212939435028,0.0425740244799805,0.0312243152546576,0.080057342263037,-0.0243042638599794,0.190569820718108
"Etheostoma serrifer",23,18,2.38660273070438,1.66970247313325,-0.0066847303922996,-0.482383908802153,0.952768360150248,2.60463229066494,1.82679979280154,-0.00121732148537693,-0.496726460948517,-12.5398391670086,-0.0835613093979992,0.235592540765975,0.0867884184846822,0.103802246053512,-0.200396539255497,0.0835125580002389,-0.11053417085231,-0.203078392171501
